Temperatura_C,Temperatura_K,Fem_mV
169,442,2.149
170,443,2.17
171,444,2.193
172,445,2.214
173,446,2.238
174,447,2.26
175,448,2.285
176,449,2.309
177,450,2.331
178,451,2.353
179,452,2.378
180,453,2.404
181,454,2.431
182,455,2.456
183,456,2.475
184,457,2.501
185,458,2.526
186,459,2.556
188,461,2.603
189,462,2.624
190,463,2.651
191,464,2.675
192,465,2.701
193,466,2.729
195,468,2.779
196,469,2.807
197,470,2.832
198,471,2.859
199,472,2.888
200,473,2.913
201,474,2.967
202,475,2.997
203,476,3.022
204,477,3.051
,,
205,478,3.081
207,480,3.14
208,481,3.166
209,482,3.193
210,483,3.218
211,484,3.252
212,485,3.278
213,486,3.316
214,487,3.339
215,488,3.371
216,489,3.398
217,490,3.425
218,491,3.457
219,492,3.492
220,493,3.52
221,494,3.546
222,495,3.577
223,496,3.607
224,497,3.638
225,498,3.666
226,499,3.696
227,500,3.731
228,501,3.763
229,502,3.193
230,503,3.829
231,504,3.855
232,505,3.886
233,506,3.926
234,507,3.956
235,508,3.979
236,509,4.016
237,510,4.045
238,511,4.079
239,512,4.116
240,513,4.146
241,514,4.185
242,515,4.218
243,516,4.25
244,517,4.285
245,518,4.317
246,519,4.351
247,520,4.381
248,521,4.417
249,522,4.456
250,523,4.486
251,524,4.517
252,525,4.551
253,526,4.59
254,527,4.63
255,528,4.697
257,530,4.741
258,531,4.777
259,532,4.809
260,533,4.852
261,534,4.898
262,535,4.932
263,536,4.965
264,537,4.92
265,538,5.059
267,540,5.11
268,541,5.145
269,542,5.182
270,543,5.219
271,544,5.259
272,545,5.336
273,546,5.378
274,547,5.414
276,549,5.456
277,550,5.49
278,551,5.533
279,552,5.573
280,553,5.607
281,554,5.65
282,555,5.69
283,556,5.732
284,557,5.765
285,558,5.809
286,559,5.845
287,560,5.889
288,561,5.931
289,562,5.974
290,563,6.021
291,564,6.057
292,565,6.098
293,566,6.141
294,567,6.185
295,568,6.219
296,569,6.272
298,571,6.354
299,572,6.398
300,573,6.44
301,574,6.485
302,575,6.526
303,576,6.574
304,577,6.615
305,578,6.654
307,580,6.724
308,581,6.779
309,582,6.821
310,583,6.864
311,584,6.919
312,585,6.964
313,586,7.013
314,587,7.057
315,588,7.104
316,589,7.152
317,590,7.191
318,591,7.245
319,592,7.286
320,593,7.335
321,594,7.379
322,595,7.429
323,596,7.471
324,597,7.523
325,598,7.579
327,600,7.673
328,601,7.731
329,602,7.773
330,603,7.813
331,604,7.876
332,605,8.009
335,608,8.059
336,609,8.119
337,610,8.167
339,612,8.261
340,613,8.313
341,614,8.359
342,615,8.407
343,616,8.459
344,617,8.507
345,618,8.575
346,619,8.667
348,621,8.722
349,622,8.784
350,623,8.839
351,624,8.89
352,625,8.925
353,626,8.97
354,627,9.022
355,628,9.084
356,629,9.134
357,630,9.187
358,631,9.24
359,632,9.297
360,633,9.349
361,634,9.406
362,635,9.469
364,637,9.589
366,639,9.694
367,640,9.749
368,641,9.794
369,642,9.852
370,643,9.909
371,644,9.974
372,645,10.019
374,647,10.144
375,648,10.194
376,649,10.251
378,651,10.379
379,652,10.442
380,653,10.491
381,654,10.539
382,655,10.598
384,657,10.718
385,658,10.775
386,659,10.837
387,660,10.892
388,661,10.958
389,662,11.027
390,663,11.079
391,664,11.135
392,665,11.206
393,666,11.257
394,667,11.321
395,668,11.383
